Px,  Py,                      theta1,                        theta4
10.70,   8.2,                     113.247637870441,                        47.3134630041963
10.60,   8.4,                     112.78704809514,                     49.7856955789535
10.50,   8.6,                     112.224013536117,                        52.2865208794166
10.40,   8.8,                     111.553524141175,                        54.8266117165456
10.20,   9.0,                     111.660001995597,                        58.1902346218842
10.00,   9.0,                     113.41529320304,                     59.7617652800805
9.80,    9.0,                     115.134918706784,                        61.3700904496415
9.60,    9.0,                     116.818908312139,                        63.0146581552652
9.40,    9.0,                     118.467075904523,                        64.6950772390311
9.20,    9.0,                     120.079047689311,                        66.4111416151583
9.10,    8.8,                     122.663256744286,                        65.5800829438725
9.00,    8.6,                     125.19009481989,                     64.8605964075913
8.90,    8.4,                     127.67282472145,                     64.2464371441577
8.80,    8.2,                     130.12266461438,                     63.732958164738
8.70,    8.0,                     132.549372283819,                        63.3167531887183
8.60,    7.8,                     134.961659672261,                        62.9953982461503
8.60,    7.6,                     136.519010616894,                        61.7819290571579
8.60,    7.4,                     138.044495603225,                        60.6268882938289
8.60,    7.2,                     139.541417674202,                        59.5276253744505
8.60,    7.0,                     141.012727849238,                        58.4821421942347
8.60,    6.8,                     142.461092617643,                        57.4890093697371
8.60,    6.6,                     143.888949200154,                        56.5473059238841
8.60,    6.4,                     145.298551840878,                        55.6565770553059
8.60,    6.2,                     146.692011597548,                        54.8168063082312
8.70,    6.0,                     147.002014344937,                        52.8892979237765
8.80,    5.8,                     147.220863507924,                        50.9616556467041
8.90,    5.6,                     147.343384911246,                        49.0283702631865
9.00,    5.4,                     147.363663792207,                        47.083705281988
9.10,    5.2,                     147.275019043797,                        45.1215614787882
9.20,    5.0,                     147.069983287135,                        43.135323843419
9.40,    5.0,                     144.454755543436,                        40.5220081374681
9.60,    5.0,                     141.834973727043,                        37.9030104519666
9.80,    5.0,                     139.21632659538,                     35.2834172435628
10.00,   5.0,                     136.603832468327,                        32.6689825822189
10.20,   5.0,                     134.001822333702,                        30.0660876414557
10.40,   5.0,                     131.413941523707,                        27.4816767634607
10.50,   5.2,                     129.590036976301,                        27.4971762280848
10.60,   5.4,                     127.77430870078,                     27.6205907069676
10.70,   5.6,                     125.961669530871,                        27.8442926643204
10.80,   5.8,                     124.147270025272,                        28.1616306428167
10.90,   6.0,                     122.326385019125,                        28.5668597327698
