Px,  Py,                      theta1,                        theta4
5.8, 9.0,                     126.152231188581,                        73.6359067365843
5.86,    8.8,                     127.58831926153,                     71.3987870870822
5.92,    8.6,                     128.940116971832,                        69.2634030883713
5.98,    8.4,                     130.214304421046,                        67.2129519048598
6.04,    8.2,                     131.416060930755,                        65.2342661424042
6.10,    8.0,                     132.549372283819,                        63.3167531887183
6.16,    7.8,                     133.617248239175,                        61.4516943793875
6.22,    7.6,                     134.621878280221,                        59.631764005571
6.28,    7.4,                     135.564743524786,                        57.8506880506613
6.34,    7.2,                     136.4466965917,                      56.1029946255391
6.40,    7.0,                     137.268017349901,                        54.3838261198128
6.46,    6.8,                     138.028449967657,                        52.6887936569689
6.52,    6.6,                     138.727225015543,                        51.0138608394935
6.58,    6.4,                     139.36306925391,                     49.3552477409306
6.64,    6.2,                     139.9342049721,                      47.709348603421
6.70,    6.0,                     140.438340233014,                        46.0726582731942
6.76,    5.8,                     140.872651048538,                        44.4417033643189
6.82,    5.6,                     141.233756333971,                        42.8129746605166
6.88,    5.4,                     141.517686449556,                        41.1828574406198
6.94,    5.2,                     141.719846238029,                        39.5475562823734
7.00,    5.0,                     141.834973727044,                        37.9030104519667
7.06,    5.2,                     140.198893729642,                        38.0267773835789
7.12,    5.4,                     138.571325450435,                        38.237240622165
7.18,    5.6,                     136.948283043014,                        38.529136798549
7.24,    5.8,                     135.326033965966,                        38.8978741685433
7.30,    6.0,                     133.701016307758,                        39.3394900118217
7.36,    6.2,                     132.069765077744,                        39.8506126487298
7.42,    6.4,                     130.428843662141,                        40.4284291899536
7.48,    6.6,                     128.774777062244,                        41.0706598823279
7.54,    6.8,                     127.103983640258,                        41.7755398210641
7.60,    7.0,                     125.412701902782,                        42.5418088456133
7.66,    7.2,                     123.696908313393,                        43.3687106196736
7.72,    7.4,                     121.952221146585,                        44.2560022289027
7.78,    7.6,                     120.173783793957,                        45.2039761475102
7.84,    7.8,                     118.356118392735,                        46.2134971916211
7.90,    8.0,                     116.492936614909,                        47.2860582026278
7.96,    8.2,                     114.576887956752,                        48.4238598694516
8.02,    8.4,                     112.599215123868,                        49.6299226080708
8.08,    8.6,                     110.549267742067,                        50.9082422859963
8.14,    8.8,                     108.413792933997,                        52.2640077115112
8.20,    9.0,                     106.17586019427,                     53.7039078368243
