Px,  Py,              theta1,                        theta4
2.01,    7.0,             167.92894642005,                     102.855434916099
2.11,    7.3,             164.727613410747,                        102.866122541867
2.21,    7.5,             161.61946058285,                     103.009689416465
2.31,    7.8,             158.6801422223,                      103.23270511526
2.41,    8.0,             155.981844073403,                        103.460264513023
2.51,    8.1,             153.592553114058,                        103.597931607119
2.61,    8.3,             151.574153067701,                        103.539054164184
2.71,    8.4,             149.979208891588,                        103.179805564242
2.81,    8.5,             148.846822297039,                        102.440746941574
2.91,    8.5,             148.198502631011,                        101.287009582326
3.01,    8.5,             148.035310146395,                        99.7359086608059
3.11,    8.4,             148.337301407093,                        97.8476069243588
3.21,    8.3,             149.065542425281,                        95.7057787621683
3.31,    8.1,             150.166052754359,                        93.3990361678733
3.41,    8.0,             151.574509276382,                        91.0089491954006
3.51,    7.8,             153.220580933133,                        88.6046030375502
3.61,    7.5,             155.031206127369,                        86.241224918628
3.71,    7.3,             156.932639197989,                        83.9606374269858
3.81,    7.0,             158.851467566598,                        81.7922545841095
3.91,    6.7,             160.714995266879,                        79.7541208478385
4.01,    6.5,             162.451455784291,                        77.853950934337
4.11,    6.3,             163.990518075395,                        76.090345788224
4.21,    6.0,             165.26450536142,                     74.454423607623
4.31,    5.9,             166.210632510341,                        72.932057353049
4.41,    5.7,             166.77433693217,                     71.5067696847521
4.51,    5.6,             166.913405646344,                        70.1631238036686
4.61,    5.5,             166.602148614645,                        68.8902079283623
4.71,    5.5,             165.834518963711,                        67.6846130237042
4.81,    5.5,             164.625085105208,                        66.5522317474814
4.91,    5.6,             163.007265010433,                        65.5083271032094
5.01,    5.7,             161.0291020831,                      64.5756413770766
5.11,    5.9,             158.747682747456,                        63.7807662137673
5.21,    6.0,             156.223643480081,                        63.1494261250477
5.31,    6.3,             153.516959532433,                        62.7015770379108
5.41,    6.5,             150.684574770951,                        62.447193559163
5.51,    6.7,             147.77978796765,                     62.3833434365594
5.61,    7.0,             144.852904731968,                        62.4927636853844
5.71,    7.3,             141.952536142135,                        62.7438265531352
5.81,    7.5,             139.126976591896,                        63.0916248777237
5.91,    7.8,             136.425201577527,                        63.4799323356999
6.01,    8.0,             133.897115641912,                        63.8439429260966
6.11,    8.1,             131.592743055372,                        64.1138585905063
6.21,    8.3,             129.560138394764,                        64.2194484024074
6.31,    8.4,             127.841981322779,                        64.0955350044821
6.41,    8.5,             126.471167291,                       63.6879433348197
6.51,    8.5,             125.466166773276,                        62.9589201537812
6.61,    8.5,             124.827293089412,                        61.8907409911382
6.71,    8.4,             124.535004069091,                        60.486498586995
6.81,    8.3,             124.55083202512,                     58.7679085501775
6.91,    8.1,             124.820706744559,                        56.7709271018798
7.01,    8.0,             125.279763078981,                        54.540507563082
7.11,    7.8,             125.857539743531,                        52.125732099878
7.21,    7.5,             126.482752937486,                        49.5760705110809
7.31,    7.3,             127.087289222108,                        46.9389974251775
7.41,    7.0,             127.609433701489,                        44.2588598672361
7.51,    6.7,             127.996508405732,                        41.576752282718
7.61,    6.5,             128.207052804696,                        38.9311451482795
7.71,    6.3,             128.212508676383,                        36.3590320220804
7.81,    6.0,             127.998170166698,                        33.8973432743925
7.91,    5.9,             127.563029195417,                        31.584299594332
8.01,    5.7,             126.918182213175,                        29.4602700073132
8.11,    5.6,             126.083716401051,                        27.5676349481464
8.21,    5.5,             125.084413208405,                        25.9492449848668
8.31,    5.5,             123.945033261666,                        24.6453886392317
8.41,    5.5,             122.686170814214,                        23.689692583081
8.51,    5.6,             121.321556026252,                        23.1048618694724
8.61,    5.7,             119.857273635752,                        22.8993441475243
8.71,    5.9,             118.292837845601,                        23.0657239488771
8.81,    6.0,             116.623631022031,                        23.5810498954059
8.91,    6.3,             114.844013297665,                        24.4086896671558
9.01,    6.5,             112.950451945044,                        25.5009731181586
9.11,    6.7,             110.944220480971,                        26.8018946071627
9.21,    7.0,             108.833464896834,                        28.2493887299999
9.31,    7.3,             106.634636489706,                        29.7770037917212
9.41,    7.5,             104.373396873661,                        31.3150615383659
9.51,    7.8,             102.085094283655,                        32.7915725258377
9.61,    8.0,             99.8147912485325,                        34.1332800343821
9.71,    8.1,             97.6165998388231,                        35.267237621808
9.81,    8.3,             95.5517860423729,                        36.1232647731808
9.91,    8.4,             93.6848594957547,                        36.6374252981885
10.01,   8.5,             92.0769506339813,                        36.7563065528606
10.11,   8.5,             90.7765916145672,                        36.4414124471937
10.21,   8.5,             89.8096716098888,                        35.6726321635317
10.31,   8.4,             89.1720020613654,                        34.4497838160014
10.41,   8.3,             88.8279324105814,                        32.7917674549611
10.51,   8.1,             88.7160069710139,                        30.7336685894093
10.61,   8.0,             88.7593718760231,                        28.3227929663164
10.71,   7.8,             88.8771085300206,                        25.6147768363048
10.81,   7.5,             88.9935628092061,                        22.6706303385139
10.91,   7.3,             89.0446108142021,                        19.555085383629
11.01,   7.0,             88.9811422910886,                        16.3361693628991
