Px,  Py,                      theta1,                        theta4
5.0, 5.0,                     166.975578206224,                        63.4473916511404
5.2, 5.0,                     164.658831474534,                        60.9834830785405
5.4, 5.0,                     162.277217050192,                        58.4963726575359
5.6, 5.0,                     159.83856239669,                     55.9862956846467
5.8, 5.0,                     157.350911617201,                        53.4539610844042
6.0, 5.0,                     154.822364981268,                        50.9005970541395
6.2, 5.0,                     152.260922134213,                        48.3279961749671
6.4, 5.0,                     149.674336013673,                        45.7385576424259
6.6, 5.0,                     147.069983287135,                        43.135323843419
6.8, 5.0,                     144.454755543436,                        40.5220081374681
7.0, 5.0,                     141.834973727043,                        37.9030104519666
7.2, 5.0,                     139.21632659538,                     35.2834172435628
7.4, 5.0,                     136.603832468327,                        32.6689825822189
7.6, 5.0,                     134.001822333702,                        30.0660876414557
7.8, 5.0,                     131.413941523707,                        27.4816767634607
8.0, 5.0,                     128.843166684816,                        24.9231695068809
8.2, 5.0,                     126.291834588323,                        22.398349621817
8.4, 5.0,                     123.761679408674,                        19.9152336167194
8.6, 5.0,                     121.253875360178,                        17.4819233190464
8.8, 5.0,                     118.769081959704,                        15.1064483845917
9.0, 5.0,                     116.307489612694,                        12.7966058731899
8.9, 5.2,                     117.263883530715,                        15.7141785030396
8.8, 5.4,                     118.114942438588,                        18.5337359209998
8.7, 5.6,                     118.861958215008,                        21.2671942242752
8.6, 5.8,                     119.506428557327,                        23.9254087361338
8.5, 6.0,                     120.049982028299,                        26.5183174057925
8.4, 6.2,                     120.494306544357,                        29.0550771729486
8.3, 6.4,                     120.841081548026,                        31.544192832758
8.2, 6.6,                     121.091913601851,                        33.9936392071241
8.1, 6.8,                     121.248274676626,                        36.4109783152151
8.0, 7.0,                     121.311441963894,                        38.8034739429364
7.9, 7.2,                     121.282437590454,                        41.1782066972919
7.8, 7.4,                     121.161966106489,                        43.5421934433191
7.7, 7.6,                     120.950346995887,                        45.902516120939
7.6, 7.8,                     120.647438627339,                        48.2664665421302
7.5, 8.0,                     120.252548893271,                        50.6417161994694
7.4, 8.2,                     119.764326061749,                        53.0365239026598
7.3, 8.4,                     119.180620756043,                        55.4600001052662
7.2, 8.6,                     118.498305909345,                        57.9224567127953
7.1, 8.8,                     117.713035025882,                        60.435888016883
7.0, 9.0,                     116.818908312139,                        63.0146581552651
6.9, 8.8,                     119.397533612486,                        62.1169916225127
6.8, 8.6,                     121.910357437872,                        61.3280452786885
6.7, 8.4,                     124.371809627861,                        60.6419329135884
6.6, 8.2,                     126.793930210444,                        60.0543201300547
6.5, 8.0,                     129.187063214677,                        59.5620914449671
6.4, 7.8,                     131.560341633743,                        59.1631092669191
6.3, 7.6,                     133.922039898627,                        58.8560344148147
6.2, 7.4,                     136.279840045688,                        58.6401885667043
6.1, 7.2,                     138.641040687638,                        58.5154455197605
6.0, 7.0,                     141.012727849238,                        58.4821421942346
5.9, 6.8,                     143.40192061757,                     58.5410029144003
5.8, 6.6,                     145.815700735337,                        58.6930722138838
5.7, 6.4,                     148.261332817359,                        58.9396525782058
5.6, 6.2,                     150.746380261883,                        59.2822443621221
5.5, 6.0,                     153.2788208326,                      59.7224857376416
5.4, 5.8,                     155.867165087812,                        60.2620910306187
5.3, 5.6,                     158.520580168149,                        60.9027862526019
5.2, 5.4,                     161.249020778562,                        61.6462410752302
5.1, 5.2,                     164.063368356534,                        62.4939969584817
5.0, 5.0,                     166.975578206224,                        63.4473916511403
