Px,  Py,                      theta1,                       theta4
3.0, 9.0,                     141.841330094528,                        106.080614038339
3.0, 8.8,                     144.128715166788,                        103.41317470662
3.0, 8.6,                     146.360755492037,                        101.204683301639
3.0, 8.4,                     148.548131888163,                        99.3132210056717
3.0, 8.2,                     150.699865425815,                        97.6606803611223
3.0, 8.0,                     152.823759620916,                        96.1988920902165
3.0, 7.8,                     154.926718076862,                        94.8958804544797
3.0, 7.6,                     157.014980114239,                        93.729314185292
3.0, 7.4,                     159.094301129446,                        92.6830241640343
3.0, 7.2,                     161.170095094464,                        91.7449968881561
3.0, 7.0,                     163.24755091367,                     90.906144762652
3.0, 6.8,                     165.331730777905,                        90.1595146169016
3.0, 6.6,                     167.427656361573,                        89.4997574422538
3.0, 6.4,                     169.540387212497,                        88.9227609728681
3.0, 6.2,                     171.675094700136,                        88.4253875929194
3.1, 6.0,                     173.236086723925,                        86.8667627431151
3.2, 5.8,                     174.779400170551,                        85.3832962576851
3.3, 5.6,                     176.307740431022,                        83.9693625247183
3.4, 5.4,                     177.823748137056,                        82.6205885361388
3.5, 5.2,                     179.330052943735,                        81.3336298633599
3.7, 5.0,                     179.99715227909,                     78.9445598993392
3.9, 5.0,                     178.255166226604,                        76.6110920538521
4.1, 5.0,                     176.411888943629,                        74.2617392667934
4.3, 5.0,                     174.470745769359,                        71.8945597452609
4.5, 5.0,                     172.436035737656,                        69.5078740352292
4.7, 5.0,                     170.312902994416,                        67.100282699834
4.9, 5.2,                     166.25756575605,                     64.9067803010415
5.0, 5.4,                     163.393998121354,                        64.027844154638
5.1, 5.6,                     160.617815930084,                        63.2505863761437
5.2, 5.8,                     157.918465574805,                        62.5738886166501
5.3, 6.0,                     155.286215680193,                        61.996481592244
5.4, 6.2,                     152.712047491246,                        61.5170130177919
5.4, 6.4,                     151.13455777893,                     62.2326915358927
5.4, 6.6,                     149.552838637409,                        63.006484448146
5.4, 6.8,                     147.96375248896,                     63.8384232487416
5.4, 7.0,                     146.364149083403,                        64.7290148839291
5.4, 7.2,                     144.75080879048,                     65.6792834428685
5.4, 7.4,                     143.12038281077,                     66.6908289096097
5.4, 7.6,                     141.46932736641,                     67.7659082647653
5.4, 7.8,                     139.793828321836,                        68.9075465947398
5.4, 8.0,                     138.089711682081,                        70.1196895233339
5.4, 8.2,                     136.352333842424,                        71.4074140753241
5.4, 8.4,                     134.576443013938,                        72.7772245490582
5.4, 8.6,                     132.755999402129,                        74.2374759993919
5.4, 8.8,                     130.883935552,                       75.7989961917918
5.4, 9.0,                     128.951828125441,                        77.4760291906779
5.8, 9.0,                     126.152231188581,                        73.6359067365843
5.86,    8.8,                     127.58831926153,                     71.3987870870822
5.92,    8.6,                     128.940116971832,                        69.2634030883713
5.98,    8.4,                     130.214304421046,                        67.2129519048598
6.04,    8.2,                     131.416060930755,                        65.2342661424042
6.10,    8.0,                     132.549372283819,                        63.3167531887183
6.16,    7.8,                     133.617248239175,                        61.4516943793875
6.22,    7.6,                     134.621878280221,                        59.631764005571
6.28,    7.4,                     135.564743524786,                        57.8506880506613
6.34,    7.2,                     136.4466965917,                      56.1029946255391
6.40,    7.0,                     137.268017349901,                        54.3838261198128
6.46,    6.8,                     138.028449967657,                        52.6887936569689
6.52,    6.6,                     138.727225015543,                        51.0138608394935
6.58,    6.4,                     139.36306925391,                     49.3552477409306
6.64,    6.2,                     139.9342049721,                      47.709348603421
6.70,    6.0,                     140.438340233014,                        46.0726582731942
6.76,    5.8,                     140.872651048538,                        44.4417033643189
6.82,    5.6,                     141.233756333971,                        42.8129746605166
6.88,    5.4,                     141.517686449556,                        41.1828574406198
6.94,    5.2,                     141.719846238029,                        39.5475562823734
7.00,    5.0,                     141.834973727044,                        37.9030104519667
7.06,    5.2,                     140.198893729642,                        38.0267773835789
7.12,    5.4,                     138.571325450435,                        38.237240622165
7.18,    5.6,                     136.948283043014,                        38.529136798549
7.24,    5.8,                     135.326033965966,                        38.8978741685433
7.30,    6.0,                     133.701016307758,                        39.3394900118217
